2.79,45.80
31.21,48.25
64.03,26.55
81.85,37.03
65.72,61.21
27.54,33.25
34.41,23.40
35.50,54.60
83.73,62.66
33.20,38.12
36.92,89.82
37.16,93.73
34.91,74.12
53.15,99.79
21.51,30.00
29.41,26.30
39.07,71.52
19.39,15.70
44.79,93.57
43.22,57.10
76.38,68.67
53.60,84.07
29.73,51.32
67.53,71.37
93.59,30.37
33.54,54.75
29.13,17.70
20.84,66.36
80.73,12.48
97.82,15.93
47.48,99.61
23.09,24.66
19.46,85.15
63.50,3.10
35.24,8.16
90.10,79.13
39.88,75.03
37.31,95.26
23.39,24.16
30.88,91.39
54.07,31.49
72.12,70.64
89.00,14.74
3.99,66.26
42.48,40.51
79.72,14.15
55.70,18.87
32.31,23.35
92.04,38.89
80.08,36.45
