26.37,50.89
66.64,25.76
89.28,93.53
54.67,37.91
68.99,59.89
53.96,64.54
40.89,96.75
58.78,65.75
45.31,35.43
95.09,71.21
97.17,54.61
30.23,83.73
68.55,61.04
48.97,63.62
37.85,84.99
27.90,77.07
72.48,79.96
66.98,74.67
94.26,16.36
75.03,89.21
30.61,39.91
86.42,21.95
68.30,31.36
17.94,98.49
83.67,89.78
88.69,86.38
13.40,58.12
36.08,37.70
43.83,58.47
77.74,62.85
27.33,44.03
35.38,66.12
23.27,39.78
33.18,57.41
4.44,1.32
79.41,86.58
39.93,22.00
96.44,56.77
7.53,68.52
25.62,99.69
20.06,76.32
64.14,64.76
79.84,44.10
65.83,67.08
7.72,1.27
50.87,7.84
66.81,24.12
8.80,17.60
80.26,58.56
4.42,51.43
