50.19,27.80
42.35,8.41
21.32,4.57
28.94,33.95
65.98,17.77
89.61,97.21
81.98,18.30
29.67,21.75
16.44,85.86
93.92,98.62
59.82,12.51
34.33,27.77
1.96,6.56
72.81,90.89
85.75,46.58
41.01,25.50
63.20,25.53
92.18,60.62
9.24,26.70
95.25,11.37
10.45,3.93
33.20,35.36
32.35,37.04
28.18,78.55
69.67,36.61
68.10,68.86
22.62,50.24
20.03,18.21
33.63,58.13
55.98,78.78
66.90,8.84
95.73,21.73
88.38,3.50
12.27,69.11
76.66,1.38
45.17,85.87
41.08,29.72
15.48,1.34
66.37,71.74
24.13,71.08
80.10,20.68
60.77,86.01
52.81,14.97
61.57,68.38
33.54,6.93
91.59,44.50
76.14,32.67
2.11,19.36
33.89,14.25
26.24,46.79
