14.16,15.00
23.96,61.18
15.67,23.74
30.17,40.40
29.82,42.28
6.38,33.20
67.32,96.34
38.87,71.00
72.10,46.72
71.01,40.38
95.67,62.62
45.02,97.86
32.23,19.27
12.57,19.01
28.63,57.74
22.26,34.19
91.02,49.95
90.42,49.25
43.58,31.07
27.09,97.72
17.36,18.55
66.80,79.31
28.25,49.70
68.61,19.67
31.76,22.32
69.91,12.89
91.75,57.40
49.04,80.11
9.54,38.85
58.86,69.30
66.27,83.40
49.37,52.23
5.03,28.43
71.03,43.85
57.28,82.14
2.18,53.30
89.56,88.14
95.28,97.44
24.29,10.53
24.63,90.18
73.02,36.89
91.92,15.37
1.42,22.85
25.00,79.22
71.65,30.70
96.21,25.68
5.86,61.78
60.40,80.08
92.20,11.77
39.24,67.76
