14.16,52.86
89.96,83.96
20.38,62.82
96.19,30.85
69.23,23.14
57.32,40.01
34.08,22.87
37.23,38.37
37.94,51.53
77.60,68.81
16.07,14.45
70.81,20.48
50.65,39.06
18.94,23.87
1.25,32.18
26.36,84.37
69.34,27.84
70.65,83.86
69.92,19.43
18.13,35.64
95.69,12.81
45.24,54.30
35.65,10.16
76.05,71.19
86.33,43.43
44.90,90.17
88.12,79.84
73.69,38.93
15.89,21.68
58.73,49.70
66.57,23.02
15.33,93.25
11.99,31.32
50.84,7.56
74.70,58.73
7.87,85.24
23.64,62.67
58.10,29.34
61.78,82.75
71.50,21.73
22.92,20.38
90.67,55.98
92.27,55.68
3.24,76.83
36.98,12.72
80.49,2.54
58.33,86.48
54.07,7.66
21.36,81.12
23.73,89.58
