5.04,84.80
56.37,83.82
13.94,57.25
23.47,49.54
38.54,94.84
68.36,81.10
47.77,56.36
36.87,92.95
71.56,41.66
57.62,23.00
19.48,74.23
17.68,14.11
47.60,5.61
32.03,24.97
72.08,45.78
51.17,24.80
72.45,28.80
62.85,4.30
4.87,89.03
25.49,82.53
19.21,88.95
40.03,39.22
28.73,98.31
89.05,18.96
85.80,13.58
7.16,98.34
95.86,83.68
26.60,45.50
75.71,77.66
99.16,39.59
34.86,29.50
71.40,19.68
46.93,20.47
3.29,66.08
94.19,92.19
79.72,59.98
95.92,50.03
1.31,15.95
82.16,19.61
16.62,5.44
70.14,2.08
47.61,38.36
11.92,30.34
3.36,55.78
68.54,13.41
6.77,74.08
65.37,53.23
39.30,14.59
32.47,17.90
86.61,53.31
