62.80,60.49
38.00,33.18
95.40,72.64
30.98,31.90
40.24,39.44
27.76,73.02
82.84,2.41
66.11,8.20
9.38,38.42
92.76,34.96
69.71,55.32
7.24,99.52
66.44,96.56
54.15,98.11
69.47,76.51
29.96,3.95
69.75,49.69
43.45,59.99
70.26,76.68
11.62,98.34
38.92,89.94
21.88,75.62
75.67,74.76
24.33,18.40
34.96,69.16
14.05,29.63
53.72,5.45
56.07,19.12
36.42,6.63
5.51,93.32
5.62,11.42
80.96,88.23
36.80,50.18
83.38,79.94
36.73,89.34
97.65,47.35
39.53,21.18
25.25,72.80
97.17,29.09
15.17,44.71
47.63,12.38
39.88,81.62
5.33,15.07
82.56,28.95
32.31,2.35
84.11,98.41
73.01,46.58
69.99,80.21
5.91,64.04
59.50,38.40
